"Code","Year","Estimate","Low","High"
"GIN",2022,310.90497,191.63617,489.69058
"KEN",2016,64.79533,45.69992,89.20984
"KEN",2007,78.53995,57.12752,106.20508
"TKM",2000,0.08057,0.08057,0.08057
"UZB",2004,2.53563,2.53563,2.53563
"MDG",2003,65.29889,1.68869,149.23325
"SDN",2009,33.00596,24.58902,43.18659
"ZMB",2007,193.14243,147.20595,251.35558
"MDG",2002,51.19769,1.26312,116.19771
"MWI",2000,451.85615,358.07503,561.48887
"VUT",2004,148.55793,103.51901,200.06781
"AMR",2000,13.49585,12.14211,14.94106
"CRI",2019,0.05429,0.05429,0.05429
"GAB",2016,226.79838,118.79312,393.00139
"STP",2014,8.9141,NA,NA
"PNG",2020,149.77162,103.58865,201.36264
"YEM",2000,83.29823,35.53825,361.16555
"GAB",2003,247.98947,158.02789,365.31845
"MRT",2012,24.33633,1.53242,60.4162
"COG",2018,248.49584,177.98206,341.5547
"LAO",2011,9.08078,6.56938,11.98518
"KGZ",2011,0,0,0
"PNG",2016,134.90339,90.94105,185.86141
"WPR",2011,1.97453,1.18003,2.92805
"GEO",2020,0,0,0
"GUF",2002,44.47217,39.10237,52.59336
"SSD",2000,350.2902,242.65109,490.58681
"KEN",2013,72.08089,52.04616,96.28303
"SLE",2014,399.19769,316.68175,496.9908
"GNQ",2014,335.27572,239.54985,458.87019
"VNM",2020,0.01904,0.01904,0.01904
"VEN",2010,4.01935,3.30287,5.09208
"ARM",2009,0,0,0
"OMN",2011,0,0,0
"ARE",2021,0,0,0
"AZE",2015,0,0,0
"KGZ",2018,0,0,0
"RWA",2009,153.73695,100.51853,216.66772
"ZAF",2015,0.87424,0.87424,0.87424
"NAM",2002,46.92487,21.98825,91.1419
"SLV",2016,0.00953,0.00953,0.00953
"BWA",2005,1.20184,0.687,2.29308
"CHN",2014,9e-05,NA,NA
"MOZ",2007,392.02288,319.20766,478.28641
"TGO",2010,311.38343,230.46543,413.22022
"LAO",2023,0.28658,0.20785,0.3786
"DZA",2014,0,0,0
"TGO",2012,333.78962,259.10896,425.32032
"MMR",2004,34.40253,24.0202,50.94796
"NIC",2006,0.82687,0.68741,0.97639
"STP",2006,31.06775,31.06775,31.06775
"NPL",2010,0.4904,0.4904,0.4904
"AFG",2018,22.3311,17.10179,28.56949
"ECU",2015,0.06802,0.06802,0.06802
"PNG",2022,162.69769,113.11192,216.50806
"MOZ",2013,375.61209,307.19664,453.79614
"RWA",2023,53.64374,41.83979,66.17131
"BLZ",2019,0,0,0
"PER",2020,2.30623,1.67557,3.24517
"BLZ",2004,5.68639,5.68639,5.68639
"NER",2019,332.56021,206.15583,512.43449
"SLE",2011,448.99692,336.98168,584.853
"COD",2008,431.01324,349.32962,520.48695
"EUR",2004,0.32207,0.32207,0.32207
"GNQ",2004,348.40363,246.12122,476.7161
"BLZ",2012,0.14302,0.14302,0.14302
"CMR",2023,258.80725,186.2289,352.97802
"BGD",2017,1.90693,1.7373,2.0974
"VUT",2008,117.98798,56.75717,528.16764
"IRN",2007,20.62773,20.62773,20.62773
"UZB",2017,0,0,0
"ECU",2001,14.88454,14.88454,14.88454
"IND",2020,2.65389,2.12547,3.34807
"SYR",2016,0,0,0
"GNQ",2018,267.56503,173.29455,393.24426
"THA",2017,0.5492,0.5492,0.5492
"WPR",2010,2.3466,1.36018,3.53888
"ETH",2021,45.55934,25.28208,68.46241
"GUF",2009,31.73695,28.28984,36.82928
"CIV",2016,243.9453,154.07648,366.00478
"TKM",2012,0,0,0
"BWA",2001,6.78124,4.11995,12.32228
"SDN",2019,62.25563,29.84829,114.54725
"BWA",2012,0.21746,0.16739,0.29759
"SWZ",2023,1.73274,NA,NA
"SAU",2008,0.02443,0.02443,0.02443
"VNM",2021,0.00517,0.00517,0.00517
"GUF",2021,0.45645,0.45645,0.45645
"AFR",2021,228.47968,206.07678,256.02123
"EUR",2006,0.08891,0.08891,0.08891
"LBR",2008,368.42107,278.49121,480.17094
"SSD",2010,282.18031,222.78852,354.25686
"SEAR",2011,13.51566,10.54284,18.30072
"SOM",2003,131.39372,89.06883,186.43749
"MDG",2023,200.02425,127.35472,277.67474
"IRN",2008,10.82879,10.82879,10.82879
"BFA",2013,487.14443,392.27445,598.67424
"TJK",2003,2.44069,2.44069,2.44069
"COG",2007,256.19468,176.46365,355.08025
"TLS",2023,0,0,0
"DJI",2000,3.07265,2.36783,3.77747
"MLI",2004,417.88934,285.54851,592.32219
"GTM",2016,0.47681,0.42527,0.5496
"MEX",2004,1.53898,1.53898,1.53898
"TCD",2020,208.41576,125.63337,323.49471
"ERI",2004,5.80884,2.8888,10.01574
"CHN",2012,0.00043,0.00043,0.00043
"BRA",2001,13.05183,11.35705,14.9325
"SAU",2006,0.55539,0.55539,0.55539
"PAK",2006,4.81808,2.01165,11.36313
"COM",2003,62.55561,41.93599,84.08784
"GLOBAL",2020,59.10357,53.50134,66.01633
"GNB",2021,106.17236,44.50602,216.26714
