"Code","Year","Estimate","Low","High"
"SLB",2009,27.68252,12.67158,50.88126
"KOR",2008,0,0,0
"KEN",2009,23.40821,22.87863,23.9774
"KOR",2023,0,0,0
"GHA",2002,86.50521,83.38391,90.01243
"PRK",2001,0,0,0
"GHA",2006,64.92424,62.7367,67.32
"CHN",2004,0.00569,0.00569,0.00569
"UZB",2001,0,0,0
"CMR",2020,51.59371,42.94825,62.78014
"BEN",2006,167.10682,156.9265,178.04635
"AGO",2023,43.99739,30.4926,68.90637
"SLE",2008,225.11664,210.56124,240.29971
"CIV",2021,37.94906,32.62512,44.29527
"KHM",2017,2.93851,1.46051,4.59142
"PRY",2016,0,0,0
"IDN",2014,0.73201,0.36813,1.11637
"GMB",2013,32.13204,30.4684,33.98581
"BGD",2014,0.93985,0.43468,1.48614
"GHA",2014,51.29523,49.27324,53.62748
"NIC",2017,0.01799,0.01799,0.01799
"DOM",2010,0.27731,NA,NA
"COM",2013,19.3912,9.04923,29.87682
"GTM",2004,0.02069,0.02069,0.02069
"BOL",2015,0.06004,0.02001,0.12007
"SEAR",2017,0.77411,0.41749,1.20613
"BOL",2014,0.08127,0.02032,0.16254
"MEX",2023,0,0,0
"NAM",2016,3.35722,NA,NA
"COD",2001,196.71167,179.92368,216.37133
"ZWE",2018,14.33455,5.41431,27.1404
"AMR",2006,0.43646,0.33107,0.60138
"GHA",2018,36.2398,34.78734,38.00561
"HND",2011,0.02585,0.02585,0.02585
"PRK",2005,0,0,0
"MWI",2000,167.12705,159.13832,175.53134
"MRT",2016,24.17625,6.97392,56.25626
"ECU",2021,0,0,0
"KHM",2023,0.01614,0,0.03227
"SEN",2002,31.94087,31.22428,32.69568
"SDN",2006,12.23727,4.84786,23.25245
"TLS",2014,0.08996,0.08996,0.08996
"CHN",2018,0,0,0
"DZA",2007,0,0,0
"TJK",2000,0,0,0
"BGD",2017,0.41765,0.19452,0.65794
"OMN",2013,0,0,0
"OMN",2007,0,0,0
"TUR",2015,0,0,0
"SAU",2012,0,0,0
"SYR",2015,0,0,0
"SDN",2021,16.19409,5.75032,34.15883
"CPV",2017,1.49979,NA,NA
"SLE",2023,78.42315,62.71488,98.76471
"GIN",2016,94.56615,86.1507,104.21576
"VUT",2022,0,0,0
"COM",2023,6.23246,2.93984,9.64267
"MYS",2016,0.15728,0.15728,0.15728
"ZMB",2009,46.67026,45.18773,48.38259
"SUR",2023,0,0,0
"TUR",2001,0,0,0
"GUF",2017,0,0,0
"TJK",2017,0,0,0
"NAM",2023,0.97791,0.97791,0.97791
"CIV",2019,40.18372,36.11179,44.68838
"TGO",2003,110.2993,103.95943,117.32358
"BRA",2014,0.08863,NA,NA
"CHN",2001,0.00561,0.00561,0.00561
"KOR",2016,0,0,0
"MLI",2016,90.07212,80.75526,100.85839
"TKM",2005,0,0,0
"SWZ",2007,5.56652,5.56652,5.56652
"GTM",2016,0,0,0
"MOZ",2009,105.65948,97.48682,114.65844
"ZWE",2011,17.26231,6.76294,31.94649
"NER",2016,169.60949,152.69918,189.02382
"MMR",2001,7.05651,7.05651,7.05651
"PRK",2003,0,0,0
"GNQ",2015,53.71674,45.53198,64.85901
"PHL",2009,0.21176,0.08762,0.38153
