"Code","Year","Estimate","Low","High"
"PAK",2021,400316,NA,NA
"MWI",2019,5151732,NA,NA
"MDG",2022,1693321,NA,NA
"CAF",2017,1296277,NA,NA
"AFG",2022,125788,NA,NA
"MLI",2019,3607237,NA,NA
"AFG",2020,105445,NA,NA
"MOZ",2017,9981277,NA,NA
"ZAF",2015,4959,NA,NA
"BRA",2017,238517,NA,NA
"LAO",2022,2340,NA,NA
"IRN",2016,705,NA,NA
"LKA",2023,63,NA,NA
"MYT",2016,28,NA,NA
"VNM",2021,467,NA,NA
"AFG",2019,174894,NA,NA
"PAN",2016,811,NA,NA
"SLV",2016,14,NA,NA
"KHM",2017,76804,NA,NA
"MDG",2023,2861319,NA,NA
"MDG",2016,1216077,NA,NA
"SEAR",2016,1477428,NA,NA
"EMR",2020,4200782,NA,NA
"BFA",2020,11567698,NA,NA
"BEN",2022,2653438,NA,NA
"MLI",2015,3543576,NA,NA
"WPR",2018,1104615,NA,NA
"NER",2020,5235815,NA,NA
"KHM",2023,1384,NA,NA
"CRI",2018,152,NA,NA
"AGO",2016,4301146,NA,NA
"BEN",2023,2069294,NA,NA
"MRT",2020,144709,NA,NA
"NAM",2017,66141,NA,NA
"CPV",2016,77,NA,NA
"KHM",2021,4382,NA,NA
"UGA",2023,16525582,NA,NA
"VUT",2020,507,NA,NA
"PRY",2022,3,NA,NA
"BOL",2016,5553,NA,NA
"SOM",2023,13688,NA,NA
"SLE",2019,2445392,NA,NA
"PAN",2015,562,NA,NA
"SLB",2020,90830,NA,NA
"ZWE",2023,248699,NA,NA
"BWA",2023,651,NA,NA
"PER",2015,66609,NA,NA
"EMR",2019,4496530,NA,NA
"ZWE",2017,767069,NA,NA
"DZA",2015,747,NA,NA
"GHA",2023,5900188,NA,NA
"PAN",2022,7173,NA,NA
"BGD",2021,7294,NA,NA
"ZMB",2022,8318534,NA,NA
"SUR",2023,102,NA,NA
"ERI",2015,32974,NA,NA
"MMR",2022,157538,NA,NA
"CIV",2020,5695412,NA,NA
"PNG",2019,804134,NA,NA
"CAF",2021,2223562,NA,NA
"GUY",2016,11108,NA,NA
"GUY",2022,20769,NA,NA
"SLE",2020,1223397,NA,NA
"UGA",2022,20012873,NA,NA
"GUF",2016,258,NA,NA
"ZMB",2019,5360020,NA,NA
"GUY",2017,13936,NA,NA
"MYT",2020,25,NA,NA
"GUY",2020,17230,NA,NA
"HND",2019,391,NA,NA
"GLOBAL",2020,174717282,NA,NA
"DOM",2021,291,NA,NA
"ETH",2015,2174707,NA,NA
"PRY",2016,10,NA,NA
"DJI",2017,14810,NA,NA
"AFG",2015,383008,NA,NA
"CIV",2023,9129549,NA,NA
"BDI",2020,4732339,NA,NA
"PAN",2023,11611,NA,NA
"ECU",2017,1380,NA,NA
"PNG",2021,755598,NA,NA
"GTM",2020,1058,NA,NA
"TZA",2022,3666741,NA,NA
"COD",2018,18208440,NA,NA
"TKM",2018,0,NA,NA
"PAK",2015,3778090,NA,NA
"PAK",2019,413533,NA,NA
"MDG",2018,1078140,NA,NA
"AMR",2016,650966,NA,NA
"DJI",2018,25319,NA,NA
"PRK",2019,1869,NA,NA
"AZE",2021,1,NA,NA
"GIN",2016,992146,NA,NA
"VEN",2015,137996,NA,NA
"MEX",2017,765,NA,NA
"LAO",2018,9038,NA,NA
"SLE",2021,2043818,NA,NA
"PAN",2017,689,NA,NA
"ZWE",2019,308173,NA,NA
"SAU",2017,3151,NA,NA
"MLI",2022,4004297,NA,NA
"SWZ",2020,325,NA,NA
"DZA",2017,453,NA,NA
"AGO",2018,5928260,NA,NA
"BRA",2015,169390,NA,NA
"MOZ",2021,10106592,NA,NA
"NGA",2016,23956669,NA,NA
"BDI",2023,5619763,NA,NA
"NIC",2023,7008,NA,NA
"ZMB",2021,7159243,NA,NA
"LKA",2020,30,NA,NA
"GTM",2021,1274,NA,NA
"UGA",2018,8522824,NA,NA
"GNB",2022,185156,NA,NA
"AGO",2021,9169267,NA,NA
"SAU",2015,2620,NA,NA
"AGO",2020,7682739,NA,NA
"KOR",2020,390,NA,NA
"SAU",2020,3658,NA,NA
"NER",2018,3358058,NA,NA
"PHL",2017,6806,NA,NA
"SEAR",2021,558990,NA,NA
"BOL",2019,9357,NA,NA
"TZA",2016,6624054,NA,NA
"AFG",2016,436017,NA,NA
"TUR",2019,279,NA,NA
"PER",2022,27785,NA,NA
"IRN",2021,999,NA,NA
"VNM",2017,8411,NA,NA
"IDN",2016,218450,NA,NA
"ETH",2020,1848231,NA,NA
"GHA",2019,6703687,NA,NA
"GHA",2017,13472089,NA,NA
"AMR",2018,929923,NA,NA
"SLV",2019,3,NA,NA
"DOM",2016,755,NA,NA
"TLS",2016,95,NA,NA
"LAO",2019,6692,NA,NA
"COG",2022,581329,NA,NA
"CMR",2020,2974819,NA,NA
"RWA",2023,549326,NA,NA
"GIN",2017,1335323,NA,NA
"MLI",2017,2456639,NA,NA
"GNB",2023,120841,NA,NA
"GNB",2017,152619,NA,NA
"BDI",2016,8902503,NA,NA
"NPL",2015,19171,NA,NA
"KOR",2016,673,NA,NA
"KOR",2019,559,NA,NA
"MYS",2019,3941,NA,NA
"TLS",2023,9,NA,NA
"ECU",2021,2436,NA,NA
"EMR",2021,4805377,NA,NA
"COL",2018,63143,NA,NA
"HTI",2017,19135,NA,NA
"BTN",2018,54,NA,NA
"NIC",2018,15934,NA,NA
"PAK",2023,2748549,NA,NA
"EMR",2016,3687883,NA,NA
"PNG",2023,952886,NA,NA
"SUR",2021,77,NA,NA
"PHL",2021,4297,NA,NA
"HTI",2018,8828,NA,NA
"PRK",2021,2357,NA,NA
"NER",2017,2761268,NA,NA
"GUY",2015,9984,NA,NA
"GHA",2016,11451328,NA,NA
"LAO",2020,3498,NA,NA
"PAK",2018,1069052,NA,NA
"BRA",2018,244042,NA,NA
"ZWE",2020,447381,NA,NA
"GEO",2016,7,NA,NA
"RWA",2016,3380568,NA,NA
"NPL",2021,373,NA,NA
"ETH",2016,1962996,NA,NA
"UGA",2021,15144755,NA,NA
"GUY",2018,17038,NA,NA
"TKM",2020,0,NA,NA
"GLOBAL",2018,166078149,NA,NA
"MRT",2016,171348,NA,NA
"COD",2022,29337562,NA,NA
"TLS",2022,2,NA,NA
"DOM",2017,398,NA,NA
"CAF",2015,953535,NA,NA
"PHL",2015,11445,NA,NA
"GHA",2022,5456588,NA,NA
"PNG",2022,1022780,NA,NA
"SLB",2015,50916,NA,NA
"MYS",2021,3688,NA,NA
"TKM",2016,0,NA,NA
"CRI",2021,232,NA,NA
"AGO",2017,4500221,NA,NA
"IDN",2018,222345,NA,NA
"ZAF",2021,5889,NA,NA
"WPR",2016,954305,NA,NA
"MEX",2020,369,NA,NA
"ECU",2019,1909,NA,NA
"SOM",2017,37156,NA,NA
"STP",2023,2368,NA,NA
"COL",2022,73561,NA,NA
"CAF",2019,2708497,NA,NA
"EUR",2018,260,NA,NA
"PHL",2018,4641,NA,NA
"YEM",2023,199420,NA,NA
"PAK",2020,372416,NA,NA
"CMR",2016,2615750,NA,NA
"PHL",2019,5778,NA,NA
"CRI",2017,25,NA,NA
"MRT",2023,108415,NA,NA
"BOL",2021,9959,NA,NA
"GUF",2020,154,NA,NA
"AZE",2020,0,NA,NA
"CRI",2016,13,NA,NA
"SDN",2016,897194,NA,NA
"CIV",2019,5950336,NA,NA
